Temp         Pressure       HRgas
290          7.79E+06     -623.2618
290          8.03E+06     -642.0239
290          8.21E+06     -656.0652
290          8.49E+06     -677.8534
291          7.01E+06     -558.0804
291          7.18E+06     -571.3685
291          7.37E+06     -586.1962
291          7.79E+06     -618.8801
291          8.03E+06     -637.4958
291          8.21E+06     -651.4271
291          8.49E+06     -673.0441
292          7.01E+06     -554.2113
292          7.18E+06     -567.3979
292          7.37E+06     -582.112
292          7.79E+06     -614.5437
292          8.03E+06     -633.0149
292          8.21E+06     -646.8376
292          8.49E+06     -668.2853
293          7.01E+06     -550.3813
293          7.18E+06     -563.4676
293          7.37E+06     -578.0693
293          7.79E+06     -610.252
293          8.03E+06     -628.5804
293          8.21E+06     -642.2958
293          8.49E+06     -663.5764
294          7.01E+06     -546.5896
294          7.18E+06     -559.5769
294          7.37E+06     -574.0676
294          7.79E+06     -606.0041
294          8.03E+06     -624.1915
294          8.21E+06     -637.801
294          8.49E+06     -658.9165
295          7.01E+06     -542.8358
295          7.18E+06     -555.7251
295          7.37E+06     -570.1062
295          7.79E+06     -601.7994
295          8.03E+06     -619.8474
295          8.21E+06     -633.3522
295          8.49E+06     -654.3047
296          7.01E+06     -539.1191
296          7.18E+06     -551.9116
296          7.37E+06     -566.1843
296          7.79E+06     -597.6372
296          8.03E+06     -615.5475
296          8.21E+06     -628.9488
296          8.49E+06     -649.7402
297          7.01E+06     -535.439
297          7.18E+06     -548.1358
297          7.37E+06     -562.3013
297          7.79E+06     -593.5167
297          8.03E+06     -611.2909
297          8.21E+06     -624.59
297          8.49E+06     -645.2222
298          7.01E+06     -531.7949
298          7.18E+06     -544.3971
298          7.37E+06     -558.4567
298          7.79E+06     -589.4373
298          8.03E+06     -607.077
298          8.21E+06     -620.2751
298          8.49E+06     -640.7499
299          7.01E+06     -528.1863
299          7.18E+06     -540.6949
299          7.37E+06     -554.6498
299          7.79E+06     -585.3983
299          8.03E+06     -602.905
299          8.21E+06     -616.0034
299          8.49E+06     -636.3227
300          7.01E+06     -524.6125
300          7.18E+06     -537.0287
300          7.37E+06     -550.88
300          7.79E+06     -581.399
300          8.03E+06     -598.7744
300          8.21E+06     -611.774
300          8.49E+06     -631.9397
301          7.01E+06     -521.073
301          7.18E+06     -533.3978
301          7.37E+06     -547.1467
301          7.79E+06     -577.4389
301          8.03E+06     -594.6843
301          8.21E+06     -607.5865
301          8.49E+06     -627.6002
302          7.01E+06     -517.5674
302          7.18E+06     -529.8017
302          7.37E+06     -543.4494
302          7.79E+06     -573.5173
302          8.03E+06     -590.6343
302          8.21E+06     -603.44
302          8.49E+06     -623.3036
303          7.01E+06     -514.095
303          7.18E+06     -526.2399
303          7.37E+06     -539.7875
303          7.79E+06     -569.6336
303          8.03E+06     -586.6235
303          8.21E+06     -599.3339
303          8.49E+06     -619.0491
304          7.01E+06     -510.6554
304          7.18E+06     -522.7118
304          7.37E+06     -536.1604
304          7.79E+06     -565.7872
304          8.03E+06     -582.6516
304          8.21E+06     -595.2677
304          8.49E+06     -614.8361
305          7.01E+06     -507.2481
305          7.18E+06     -519.217
305          7.37E+06     -532.5676
