Temp        Pressure        NumberArgon     InternalEnergy     Volume
280        80.64443e5       16.8966         -54954.7          5.21091E-027
280        100e5            17.9285         -54698.5          5.21420E-027
280        121.07235e5      18.7972         -54503.5          5.21503E-027
280        143.12297e5      19.4556         -54335.5          5.21676E-027
285        51.20856e5       13.7779         -55604.8          5.20967E-027
285        60.53505e5       14.6571         -55372.6          5.21046E-027
285        71.56016e5       15.5127         -55162.4          5.21332E-027
285        80.64443e5       16.2179         -54980.9          5.21453E-027
285        100e5            17.2511         -54725.8          5.21719E-027
285        121.07235e5      18.1514         -54495.1          5.22047E-027
285        143.12297e5      18.9778         -54298.7          5.22185E-027
290        51.20856e5       12.8554         -55677.8          5.21208E-027
290        60.53505e5       13.8648         -55418.0          5.21558E-027
290        71.56016e5       14.7786         -55187.4          5.21857E-027
290        80.64443e5       15.4781         -55013.1          5.21895E-027
290        100e5            16.5883         -54726.9          5.22216E-027
290        121.07235e5      17.4834         -54500.0          5.22348E-027
290        143.12297e5      18.2765         -54298.0          5.22680E-027
295        51.20856e5       12.1815         -55706.6          5.21658E-027
295        60.53505e5       13.2095         -55435.2          5.21912E-027
295        71.56016e5       13.9992         -55224.2          5.22160E-027
295        80.64443e5       14.6734         -55053.5          5.22343E-027
295        100e5            15.9208         -54747.0          5.22686E-027
295        121.07235e5      16.9049         -54491.2          5.22876E-027
295        143.12297e5      17.6284         -54312.4          5.23149E-027
300        51.20856e5       11.5043         -55708.4          5.22070E-027
300        60.53505e5       12.4040         -55476.4          5.22317E-027
300        71.56016e5       13.4346         -55208.2          5.22593E-027
300        80.64443e5       14.0964         -55042.5          5.22757E-027
300        100e5            15.1523         -54775.7          5.22980E-027
300        121.07235e5      16.2449         -54476.7          5.23309E-027
300        143.12297e5      17.1112         -54277.4          5.23577E-027
