Temp (K)    Pressure(Pa)                  xHg                 xHw                 Volume(m3/mol)    
  280       2499999.99999998      0.105924303344106     0.894075696655894      2.05487928334574E-05
  280       2771518.67696214      0.108803903438903     0.891196096561097      2.04819392164945E-05
  280       3072526.31070002      0.111947505649908     0.888052494350093      2.04063089991714E-05
  280       3406225.6222251       0.115184155550625     0.884815844449374      2.03349130375663E-05
  280       3776167.17197757      0.118359578342503     0.881640421657497      2.02627551457656E-05
  280       4186287.13778688      0.120964353811848     0.879035646188152      2.02014491548977E-05
  280       4640949.19580113      0.123201757722594     0.876798242277406      2.01500305332094E-05
  280       5144990.94999814      0.125484038154617     0.874515961845383      2.01006014869343E-05
  280       5703775.40428845      0.127541276599566     0.872458723400433      2.00521184195923E-05
  280       6323248.02487314      0.129647347184313     0.870352652815687      2.00034052739531E-05
  280       7010000.00000001      0.1315209367313       0.8684790632687        1.99586135753495E-05
  280       2499999.99999999      0.105924303344106     0.894075696655894      2.05487928334574E-05
  280       2778167.66475059      0.108788719362155     0.891211280637845      2.04832749065703E-05
  280       3087286.22938632      0.112313259429061     0.887686740570939      2.03982189479346E-05
  280       3430799.50972436      0.115391345014938     0.884608654985062      2.0326664687138E-05
  280       3812534.50486338      0.118521864870698     0.881478135129302      2.02568782322215E-05
  280       4236744.03286296      0.121189289365227     0.878810710634773      2.02007945095008E-05
  280       4708154.11036998      0.123402949749074     0.876597050250926      2.01435046027791E-05
  280       5232016.60403702      0.125532396452748     0.874467603547252      2.0098947796856E-05
  280       5814167.74030957      0.127927294785582     0.872072705214418      2.00460657401749E-05
  280       6461093.12542566      0.130079917511107     0.869920082488892      1.99872993139145E-05
  280       7180000               0.132115061122073     0.867884938877927      1.99445371429228E-05
  280       2500000               0.105924303344106     0.894075696655894      2.05487928334574E-05
  280       2785433.25695538      0.109319271056413     0.890680728943587      2.0473723739654E-05
  280       3103455.37158123      0.112332958685626     0.887667041314374      2.04018547150132E-05
  280       3457787.12139167      0.115432195926565     0.884567804073435      2.03272929948734E-05
  280       3852574.09735855      0.118566997333665     0.881433002666335      2.02549042024911E-05
  280       4292435.20626695      0.121301713978539     0.878698286021461      2.01945522773792E-05
  280       4782516.71074484      0.123898753617139     0.876101246382861      2.01352541981999E-05
  280       5328552.43922142      0.126428866901161     0.873571133098839      2.00799680118806E-05
  280       5936930.87025522      0.128520201670678     0.871479798329322      2.0030391236758E-05
  280       6614769.87610159      0.130443678325541     0.869556321674459      1.99844484455402E-05
  280       7370000               0.13266854928611      0.86733145071389       1.99332004466757E-05
  280       2500000.00000001      0.105924303344106    0.894075696655894       2.05487928334574E-05
  280       2800913.86608449      0.109136655161865    0.890863344838135       2.04753964374637E-05
  280       3138047.39408973      0.112578546586364    0.887421453413636       2.03943630532518E-05
  280       3515760.18341447      0.116054848796632    0.883945151203368       2.03145895147206E-05
  280       3938936.57902131      0.118936452643806    0.881063547356194       2.02514478076742E-05
  280       4413048.83272325      0.121921236334899    0.878078763665101       2.01820641242843E-05
  280       4944227.86691299      0.124692113669027    0.875307886330973       2.01145784008769E-05
  280       5539342.55580714      0.127264699974781    0.872735300025219       2.00589775649273E-05
  280       6206088.54942082      0.129334760541451    0.870665239458549       2.0009895424142E-05
  280       6953087.78888834      0.131171953208499    0.868828046791501       1.99651329786045E-05
  280       7790000               0.133479792239037    0.866520207760963       1.99134050230138E-05
  280      2499999.99999998       0.105924303344106     0.894075696655894       2.05487928334574E-05
  280      2809425.77374466       0.109195590518173     0.890804409481827       2.04721876911791E-05
  280      3157149.27127234       0.11258433711355      0.88741566288645        2.03937976692289E-05
  280      3547910.6137087        0.116284026313943     0.883715973686057       2.03102227679024E-05
  280      3987036.60843821       0.119492620571242     0.880507379428758       2.02352716106293E-05
  280      4480513.36344396       0.122100349094214     0.877899650905786       2.01726208661255E-05
  280      5035067.88914677       0.124875729136169     0.875124270863831       2.01083435827974E-05
  280      5658259.80012926       0.127281501127154     0.872718498872846       2.00602920013424E-05
  280      6358584.36681063       0.129695803085996     0.870304196914004       1.99985529400924E-05
  280      7145588.32185912       0.131673979333841     0.868326020666159       1.99569807985024E-05
  280      8030000.00000001       0.133636008635611     0.866363991364389       1.99118101911161E-05
  280       2499999.99999998      0.105924303344106      0.894075696655894      2.05487928334574E-05
  280       2815660.72830781      0.109654552513033      0.890345447486967      2.04610090821782E-05
  280       3171178.13477396      0.113077991095564      0.886922008904436      2.03808425172151E-05
  280       3571584.6946206       0.116552110758382      0.883447889241618      2.03048439512726E-05
  280       4022548.30498741      0.119531953544952      0.880468046455048      2.0233977753939E-05
  280       4530452.5160297       0.122759489033204      0.877240510966796      2.01614376810921E-05
  280       5102486.89233929      0.125869631168404      0.874130368831596      2.00902289128903E-05
  280       5746748.78378607      0.128114586258317      0.871885413741683      2.00392120720229E-05
  280       6472357.94638288      0.130195642024342      0.869804357975658      1.99906496735036E-05
  280       7289585.63567254      0.131973808586183      0.868026191413817      1.99494746654429E-05
  280       8210000               0.133962059896712      0.866037940103288      1.98990236377414E-05
  280     2499999.99999999       0.105924303344106     0.894075696655894      2.05487928334574E-05 
  280     2825119.20090563       0.109621910109785     0.890378089890215      2.046400685853E-05   
  280     3192519.39973028       0.113020146834297     0.886979853165703      2.03851571291332E-05 
  280     3607699.1421767        0.116994925967167     0.883005074032833      2.02952921350868E-05 
  280     4076872.04706168       0.120040115818249     0.87995988418175       2.02240923569661E-05 
  280     4607059.79991577       0.123150314602062     0.876849685397938      2.01560280385582E-05 
  280     5206197.24018501       0.125846033204996     0.874153966795004      2.00927843667847E-05 
  280     5883251.11477945       0.128284476669431     0.871715523330569      2.00309063277573E-05 
  280     6648354.27524517       0.130228462122409     0.869771537877591      1.99881234806978E-05 
  280     7512957.32696729       0.132839434381769     0.867160565618231      1.99306940663901E-05 
  280     8490000                0.134584791600382     0.865415208399618      1.98851366719695E-05
