Nitrogen
-23.5011 0.9691 2177.9443 10.3003 -1.2597e-9
-20.5172 0.9739 1848.5739 7.4591 2.7679e-10
-41.0442 0.8975 1801.0177 18.4231 -1.7597e-9

Methane
-24.3635 0.9998 2805.3 -1.9369 0.0000
-22.5362 0.9949 2671.3 0.8319 0.0000
-inf -inf -inf -inf -inf

Ethane
-25.5289 1.0229 1584.9 -13.4754 0.0000
-24.9100 0.9967 3789.7 -1.0306 0.0000
-inf -inf -inf -inf -inf

CO2
-24.0521 0.9324 2451.1 17.8794 0.0000
-23.7496 1.0015 3313.5 -0.3875 0.0000
-inf -inf -inf -inf -inf

Propane
-inf -inf -inf -inf -inf
-inf -inf -inf -inf -inf
-24.6954 0.9866 4787.4 2.2223 0.0000

Iso-butane
-inf -inf -inf -inf -inf
-inf -inf -inf -inf -inf
-25.7342 0.9653 5128.1 2.7092 0.0000
